2021-08-15
0,0,10:00,10:10
0,1,10:10,10:23
0,2,11:00,11:15
0,3,12:00,12:02
0,1,13:00,15:00
0,1,15:53,17:02
1,0,10:00,10:10
1,1,11:16,13:59
1,2,11:00,11:15
1,3,13:59,14:03
2,0,10:00,10:10
2,1,12:00,13:13
2,2,14:55,15:05
2,3,16:58,17:01
3,0,19:10,19:20
3,0,10:00,10:10
3,1,13:00,13:30
3,2,17:58,18:30
3,3,10:59,11:01
4,0,19:10,19:20
4,0,10:00,10:10
4,1,13:43,16:00
4,2,17:58,18:30
4,1,17:00,17:30
5,0,19:10,19:20
5,0,10:00,10:10
5,1,15:55,17:05
5,2,11:43,12:11
5,3,15:00,15:02
6,0,19:10,19:20
6,0,10:00,10:10
6,1,16:56,17:05
6,2,11:43,12:11
6,3,16:00,16:02
7,0,19:10,19:20
7,0,10:00,10:10
7,1,17:00,19:00
7,2,14:55,15:05
7,3,18:55,19:06
